county,sub_county,constituency,ward,community_unit_name,community_unit_code,chu_status,linked_facility_name,date_established_excel,source
LAMU,Lamu West,Lamu West,Witu,Didewaride Community Unit,703395,Fully-functional,Didewaride Dispensary,43529,KMHFR via openAFRICA (2020 extract)
LAMU,Lamu West,Lamu West,Hongwe,Bomani Community Unit,703393,Fully-functional,Sinambio Disp,42618,KMHFR via openAFRICA (2020 extract)
LAMU,Lamu West,Lamu West,Hongwe,Hongwe Community Unit,703394,Fully-functional,Hongwe Catholic Dispensary,41519,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Garsen,Garsen,Kipini West,Mandingo Community Health Unit,703376,semi-functional,Mandingo Dispensary,42888,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Garsen,Garsen,Garsen South,Danisa Community Health Unit,703377,semi-functional,Idsowe Dispensary,43831,KMHFR via openAFRICA (2020 extract)
LAMU,Lamu West,Lamu West,Mkunumbi,Muhamarani Community Unit,703336,semi-functional,Muhamarani Dispensary,41742,KMHFR via openAFRICA (2020 extract)
LAMU,Lamu West,Lamu West,Hindi,Bargoni Community Unit,703335,semi-functional,Bargoni Nys Dispensary,43405,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Turbi,BUBISA COMMUNITY UNIT 2,703292,Fully-functional,Bubisa Dispensary,43801,KMHFR via openAFRICA (2020 extract)
MANDERA,Mandera South,Mandera South,Wargudud,Wargadud Community Test Unit,703278,Fully-functional,Wargadud Medical Centre,43739,KMHFR via openAFRICA (2020 extract)
ISIOLO,Merti,Isiolo North,Chari,Biliqo Marara Community Health Unit,703275,non-functinoal,Biliqo Marara Dispensary,43608,KMHFR via openAFRICA (2020 extract)
ISIOLO,Garbatulla,Isiolo South,Kinna,Duse Community Health Unit,703256,non-functinoal,Duse Dispensary,42167,KMHFR via openAFRICA (2020 extract)
ISIOLO,Garbatulla,Isiolo South,Garba Tulla,Garbatulla South Community Health Unit,703255,semi-functional,Garbatulla District Hospital,41044,KMHFR via openAFRICA (2020 extract)
ISIOLO,Isiolo,Isiolo North,Wabera,Tuluroba Community Health Unit,703254,Fully-functional,Isiolo District Hospital,41379,KMHFR via openAFRICA (2020 extract)
ISIOLO,Garbatulla,Isiolo South,Garba Tulla,Boji Community Health Unit,703253,non-functinoal,Boji Dispensary,41105,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu East,Samburu East,Wamba West,Nkutuk Emulget Community Health Unit,702965,Fully-functional,Nkutuk Elmuget Dispensary,43435,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu East,Samburu East,Wamba West,Kiltamany Community Health Unit,702963,Fully-functional,Kiltamany Dispensary,43406,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu Central,Samburu Central,Maralal,Mlimani Community Health Unit,702962,Fully-functional,Maralal District Hospital,43437,KMHFR via openAFRICA (2020 extract)
SAMBURU,Samburu Central,Samburu Central,Maralal,Lpartuk Community Health Unit,702961,Fully-functional,Lpartuk Dispensary,43466,KMHFR via openAFRICA (2020 extract)
KILIFI,Kilifi North,Kilifi North,Dabaso,Mida Community Health Unit,702780,Fully-functional,Gede Health Centre,41792,KMHFR via openAFRICA (2020 extract)
KILIFI,Kilifi North,Kilifi North,Sokoni,Sokoni Community Health Unit,702779,Fully-functional,Kilifi County Hospital,41792,KMHFR via openAFRICA (2020 extract)
KILIFI,Kilifi North,Kilifi North,Sokoni,Kiwandani Community Health Unit,702778,Fully-functional,Kiwandani Dispensary,41760,KMHFR via openAFRICA (2020 extract)
KILIFI,Kilifi North,Kilifi North,Sokoni,Hospital Community Health Unit,702777,Fully-functional,Kilifi County Hospital,41821,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kalokol,Kalimapus Community Health Unit,702764,Fully-functional,Kalimapus Dispensary,43580,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana Central,Turkana Central,Kerio Delta,Nakoret Community Health Unit,702763,Fully-functional,Kosikiria Dispensary,43580,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Lokichoggio,Loteteleit Community Health Unit,702762,Fully-functional,Nakururum Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Letea,Lortit Community Health Unit,702761,non-functinoal,Letea Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Letea,Namorkirionok Community Health Unit,702760,Fully-functional,Loreng Dispensary,42576,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kalobeyei,Lonyuduk Community Health Unit,702759,non-functinoal,Kalobeyei Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Letea,Katelemot Community Health Unit,702758,non-functinoal,Lokipoto Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kakuma,Nalapatui Community Health Unit,702756,non-functinoal,Lochorangierengo Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Kakuma,Tulabalany Community Health Unit,702755,non-functinoal,Lochorangierengo Dispensary,42475,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana West,Turkana West,Nanaam,Lotikipi Community Health Unit,702754,non-functinoal,Nasinyono Dispensary,42475,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Kinondo,Diani Scheme Community Health Unit,702732,Fully-functional,Mvindeni,42961,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Kinondo,Kinondo Community Health Unit,702731,Fully-functional,Kinondo Kwetu Community Clinic,42961,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Kinondo,Mvumoni Community Health Unit,702730,Fully-functional,Muhaka Dispensary,43269,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Kinondo,Mwabungo Community Health Unit,702729,Fully-functional,Ganja La Simba,43004,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Kinondo,Biga Community Health Unit,702728,Fully-functional,Ganja La Simba,43269,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Kinondo,Gazi Community Health Unit,702727,Fully-functional,Gazi Dispensary,42464,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Ramisi,Bomani Community Health Unit,702726,Fully-functional,Msambweni County Referral Hospital,43269,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Ramisi,Bodo Community Health Unit,702725,Fully-functional,Shiraz Dispensary,43004,KMHFR via openAFRICA (2020 extract)
KWALE,Msambweni,Msambweni,Kinondo,Ukunda Scheme Community Health Unit,702724,Fully-functional,Mvindeni,43269,KMHFR via openAFRICA (2020 extract)
KILIFI,Ganze,Ganze,Ganze,Kachororoni Community Health Unit,702562,semi-functional,Kachororoni Dispensary,42372,KMHFR via openAFRICA (2020 extract)
KILIFI,Ganze,Ganze,Jaribuni,Vyambani Community Health Unit,702561,Fully-functional,Jaribuni Dispensary,41642,KMHFR via openAFRICA (2020 extract)
KILIFI,Ganze,Ganze,Ganze,Mwambani Community Health Unit,702560,Fully-functional,Jila Model Health Centre,43468,KMHFR via openAFRICA (2020 extract)
KILIFI,Ganze,Ganze,Bamba,Mtsa Wa Tsatsu Community Health Unit,702559,Fully-functional,Bamba Sub-County Hospital,43468,KMHFR via openAFRICA (2020 extract)
KILIFI,Ganze,Ganze,Bamba,Bandari Community Health Unit,702558,Fully-functional,Bamba Sub-County Hospital,43468,KMHFR via openAFRICA (2020 extract)
KILIFI,Ganze,Ganze,Sokoke,Vitengeni Community Health Unit,702557,Fully-functional,Vitengeni Health Centre,43220,KMHFR via openAFRICA (2020 extract)
KILIFI,Ganze,Ganze,Sokoke,Kaembeni Community Health Unit,702555,Fully-functional,Dzikunze Dispensary,43281,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Garsen,Garsen,Garsen North,Wema Community Health Unit,702425,semi-functional,Wema Catholic Dispensary,42887,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Garsen,Garsen,Garsen Central,Kipao Community Health Unit,702424,semi-functional,Kipao Dispensary,42887,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana South,Turkana South,Lokichar,Kasuroi Community Health Unit,702307,Fully-functional,Kasuroi Dispensary,42105,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana South,Turkana South,Lokichar,Lokaburu Community Health Unit,702306,Fully-functional,Lokaburu Dispensary,42200,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Dukana,Balesa Community Health Unit,702305,Fully-functional,Balesa Dispensary,41731,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Maikona,Maikona 2 Community Health Unit,702304,Fully-functional,Maikona Health Centre,42662,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Maikona,Maikona 1 Community Health Unit,702303,Fully-functional,Maikona Health Centre,41184,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Maikona,Kalacha 2 Community Health Unit,702302,semi-functional,Kalacha Sub County Referral Hospital (Chalbi),41918,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Maikona,Rage/Kutur Community Health Unit,702301,semi-functional,Kalacha Sub County Referral Hospital (Chalbi),41310,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Maikona,El-gage Community Health Unit,702300,Fully-functional,Elgade Dispensary,42614,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,North Horr,Malabot Community Health Unit,702299,Fully-functional,Malabot Dispensary (North Horr),42654,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,North Horr,Gus Community Health Unit,702297,Fully-functional,Gus Dispensary,42095,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Illeret,Illeret 1 Community Health Unit,702296,Fully-functional,Illeret Health Centre (North Horr),41187,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Turbi,Burgabo Community Health Unit,702295,Fully-functional,Burgabo Dispensary,41948,KMHFR via openAFRICA (2020 extract)
TURKANA,Turkana North,Turkana North,Lakezone,Narengewoi Community Health Unit,702277,Fully-functional,Narengewoi Dispensary,43089,KMHFR via openAFRICA (2020 extract)
KILIFI,Rabai,Rabai,Ruruma,Kombeni Community Health Unit,701793,Fully-functional,Kombeni Dispensary,43074,KMHFR via openAFRICA (2020 extract)
KILIFI,Rabai,Rabai,Ruruma,Jimba Community Health Unit,701792,Fully-functional,Chilodi CrossFit Health Centre,43104,KMHFR via openAFRICA (2020 extract)
KILIFI,Kaloleni,Kaloleni,Kayafungo,Mrimani Community Health Unity,701713,Fully-functional,Gotani Dispensary,43015,KMHFR via openAFRICA (2020 extract)
KILIFI,Kaloleni,Kaloleni,Kayafungo,Gotani Community Health Unit,701712,Fully-functional,Gotani Dispensary,43028,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Galole,Galole,Wayu,Daba Community Health Unit,701709,semi-functional,Daba (AIC) Dispensary,42795,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Galole,Galole,Wayu,Hakoka Community Health Unit,701708,semi-functional,Chifiri Dispensary (LATIF),42795,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Galole,Galole,Wayu,Chifiri Community Health Unit,701707,semi-functional,Chifiri Dispensary (LATIF),42795,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Galole,Galole,Wayu,Waldena Community Health Unit,701706,semi-functional,Waldena Dispensary,42795,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Galole,Galole,Wayu,Wayu Community Health Unit,701705,semi-functional,Wayu Boru,42767,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Galole,Galole,Wayu,Kalkacha Community Health Unit,701704,semi-functional,Bura Nomadic,42795,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Galole,Galole,Kinakomba,Jamhuri Community Health Unit,701703,semi-functional,Majengo Dispensary (Tana River),42795,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Galole,Galole,Chewani,Makere Community Health Unit,701702,semi-functional,Makere Dispensary,42795,KMHFR via openAFRICA (2020 extract)
MARSABIT,Laisamis,Laisamis,Laisamis,Lontolio Community Health Unit,701602,non-functinoal,Lontolio Dispensary,40557,KMHFR via openAFRICA (2020 extract)
MARSABIT,Laisamis,Laisamis,Kargi/South Horr,Kargi Community Health Unit,701601,non-functinoal,Kargi Health Centre,40184,KMHFR via openAFRICA (2020 extract)
MARSABIT,Laisamis,Laisamis,Laisamis,Koya Community Health Unit,701600,semi-functional,Laisamis Sub county Referral Hospital(Marsabit South),40549,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Maikona,Kalacha Community Health Unit,701576,Fully-functional,Kalacha Sub County Referral Hospital (Chalbi),40463,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Turbi,Turbi Community Health Unit,701575,semi-functional,Turbi Dispensary (Marsabit North),41896,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Maikona,Hurri Hills Community Health Unit,701574,semi-functional,Hurri-Hills Dispensary,40463,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,North Horr,North Horr Community Health Unit,701573,semi-functional,North Horr Health Centre,40467,KMHFR via openAFRICA (2020 extract)
MARSABIT,Laisamis,Laisamis,Loiyangalani,Gatab Community Health Unit,701572,Fully-functional,Gatab Health Centre,43084,KMHFR via openAFRICA (2020 extract)
MARSABIT,Laisamis,Laisamis,Korr/Ngurunit,Namarei Community Health Unit,701571,non-functinoal,Namarei Dispensary (Marsabit South),41977,KMHFR via openAFRICA (2020 extract)
MARSABIT,Laisamis,Laisamis,Loiyangalani,Loiyangalani Community Health Unit,701570,Fully-functional,Loiyangalani Gok Health centre,41628,KMHFR via openAFRICA (2020 extract)
MARSABIT,Laisamis,Laisamis,Korr/Ngurunit,Korr Community Health Unit,701569,semi-functional,Korr Dispensary,42348,KMHFR via openAFRICA (2020 extract)
MARSABIT,Laisamis,Laisamis,Korr/Ngurunit,Ngurunit Community Health Unit,701568,semi-functional,Ngurunit Health centre,41626,KMHFR via openAFRICA (2020 extract)
MARSABIT,Laisamis,Laisamis,Loglogo,Logologo Community Health Unit,701567,Fully-functional,Logologo AIC Dispensary,41166,KMHFR via openAFRICA (2020 extract)
MARSABIT,Laisamis,Laisamis,Laisamis,Laisamis Community Health Unit,701566,Fully-functional,Catholic Hospital Laisamis,41438,KMHFR via openAFRICA (2020 extract)
WAJIR,Wajir North,Wajir North,Danaba,Danaba Community Health Unit,701559,Fully-functional,Danaba Health Centre,40460,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Dukana,Dukana Community Health Unit,701558,semi-functional,Dukana Health Centre (North Horr),40474,KMHFR via openAFRICA (2020 extract)
MARSABIT,North Horr,North Horr,Turbi,Bubisa Community Health Unit,701557,Fully-functional,Bubisa Dispensary,40463,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Balambala,Balambala Community Health Unit,701548,Fully-functional,Balambala Sub-District Hospital,41946,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Jarajara,Jarajara Community Health Unit,701547,Fully-functional,Jarajara Dispensary,41946,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Balambala,Dujis Community Health Unit,701546,Fully-functional,Dujis Health Centre,41946,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Saka,Daley Community Health Unit,701545,Fully-functional,Daley Dispensary,41948,KMHFR via openAFRICA (2020 extract)
GARISSA,Balambala,Balambala,Balambala,Kuno Community Health Unit,701544,Fully-functional,Kuno Dispensary,41883,KMHFR via openAFRICA (2020 extract)
GARISSA,Hulugho,Ijara,Sangailu,Wakabharey Community Health Unit,701535,Fully-functional,Handaro Dispensary,40634,KMHFR via openAFRICA (2020 extract)
GARISSA,Hulugho,Ijara,Sangailu,Kordoi Community Health Unit,701534,Fully-functional,Handaro Dispensary,41794,KMHFR via openAFRICA (2020 extract)
GARISSA,Hulugho,Ijara,Sangailu,Bultohama Community Health Unit,701533,semi-functional,Bultohama Dispensary,41806,KMHFR via openAFRICA (2020 extract)
GARISSA,Hulugho,Ijara,Sangailu,Jalish Community Health Unit,701532,semi-functional,Jalish Dispensary,42536,KMHFR via openAFRICA (2020 extract)
GARISSA,Hulugho,Ijara,Sangailu,Handaro Community Health Unit,701529,Fully-functional,Handaro Dispensary,42536,KMHFR via openAFRICA (2020 extract)
GARISSA,Hulugho,Ijara,Hulugho,Lafageri Community Health Unit,701528,Fully-functional,Hulugho Sub County Hospital,41808,KMHFR via openAFRICA (2020 extract)
GARISSA,Hulugho,Ijara,Hulugho,Shora Community Health Unit,701527,Fully-functional,Hulugho Sub County Hospital,41800,KMHFR via openAFRICA (2020 extract)
GARISSA,Hulugho,Ijara,Hulugho,Gesireb Community Health Unit,701526,Fully-functional,Hulugho Sub County Hospital,40676,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Bangale,Boka Wells Community Health Unit,701512,Fully-functional,Bangali Dispensary,42823,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Bangale,Bangali Community Health Unit,701511,Fully-functional,Bangali Dispensary,41318,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Sala,Sala Community Health Unit,701510,Fully-functional,Sombo Dispensary,42809,KMHFR via openAFRICA (2020 extract)
TANA RIVER,Bura,Bura,Sala,Sombo Community Health Unit,701509,Fully-functional,Sombo Dispensary,42768,KMHFR via openAFRICA (2020 extract)
