county,facility_delivery_pct,skilled_delivery_pct,anc_skilled_pct,anc4_pct,stunting_u5_pct,wasting_u5_pct,underweight_u5_pct,hh_itn_ownership_pct,maternal_risk_index,malaria_itn_gap_pct,ccri_malaria_pf_score,ccri_riverine_flood_score,ccri_drought_score,ccri_food_insecurity_score,ccri_child_nutrition_score,ccri_maternal_health_score,ccri_risk_index,terrain_class,seasonal_mobility_flag,poverty_overall_pct,chw_monthly_stipend_kes,real_chw_headcount
TURKANA,43.2,52.6,99.5,57.7,23.0,22.6,31.7,49.4,56.8,50.6,8.6,9.9,6.1,8.8,5.9,3.5,8.8,arid,1,82.7,5000,
GARISSA,61.4,68.1,77.5,31.2,9.0,15.3,14.1,19.7,38.6,80.3,7.8,6,9.4,10,4.9,9.6,8.4,arid,1,67.8,5000,
MANDERA,50.4,54.7,76.4,40.4,20.5,17.3,23.2,15.7,49.6,84.3,9.6,8.2,1.4,10,7.5,6.6,8.5,arid,1,72.9,5000,
KILIFI,83.8,84.5,99.3,77.3,37.0,7.2,19.5,74.4,16.2,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,semi_arid,0,,5000,
WAJIR,53.6,56.6,84.0,44.9,12.4,22.8,16.2,43.6,46.4,56.4,7.6,5,3.4,10,7.5,4.8,8.4,arid,1,64.7,5000,
TAITA TAVETA,93.3,95.7,100.0,64.9,19.2,4.1,12.6,87.3,6.7,12.7,9.1,0.7,8.9,3.8,8.4,3.2,5.5,semi_arid,0,,5000,
MARSABIT,59.3,68.7,93.8,67.1,18.9,20.4,25.9,27.1,40.7,72.9,8.3,4.8,5.9,10,4.8,6.6,8.1,arid,1,66.1,5000,
ISIOLO,83.7,85.0,99.3,52.9,14.1,7.2,11.5,51.7,16.3,48.3,6.1,4.6,4,7.5,7.8,6.9,7.3,arid,1,,5000,
SAMBURU,49.1,56.6,92.9,56.3,31.4,15.4,30.2,19.9,50.9,80.1,5.8,1.5,2.8,8.8,9.7,10,7.8,arid,1,71.9,5000,
LAMU,90.3,92.5,97.9,70.5,16.1,3.5,12.5,65.9,9.7,34.1,7.2,9,6.8,2.5,7.2,5.2,6.3,semi_arid,0,,5000,
WEST POKOT,55.5,65.3,97.9,35.0,33.5,11.0,27.1,78.8,44.5,21.2,8.7,2.4,3.9,1.3,7.7,6,6.6,semi_arid,0,,5000,
TANA RIVER,51.1,59.2,95.3,61.2,21.1,11.3,16.8,71.3,48.9,28.7,7.5,9.7,8.7,10,5.9,10,8,arid,1,66.7,5000,
NAROK,64.2,70.1,96.5,55.3,21.5,2.1,10.7,76.0,35.8,24.0,3.5,2.7,4.3,2.5,9.3,6,6.2,semi_arid,0,26.2,5000,
KWALE,84.1,89.3,99.3,71.9,22.7,6.2,13.7,74.0,15.9,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,semi_arid,0,,5000,
