ADM2_PCODE,ADM_PCODE,total_pop,female_pop,children_u5,female_u5,elderly,pop_u15,female_u15,wra_pop,dependency_ratio
KE027144,KE027144,172511,86768,19502,9668,4754,55142,27475,49861,53.19
KE035190,KE035190,217720,106490,23634,11593,5977,68249,33908,61369,51.73
KE029152,KE029152,219247,110492,24759,12221,8979,76565,37921,57182,63.98
KE041234,KE041234,284462,150506,33767,16634,15693,103918,51853,71846,72.56
KE044254,KE044254,138292,71904,18432,9177,4143,55430,27756,36083,75.68
KE032174,KE032174,288260,147743,34023,16824,9964,91006,45143,82489,53.91
KE007028,KE007028,66960,30527,9543,4422,1068,28964,12997,15567,81.33
KE009040,KE009040,180689,87652,36222,19076,1571,93506,46624,38227,111.06
KE030159,KE030159,107848,54106,13411,6552,4157,37974,18918,27971,64.11
KE030158,KE030158,121756,60951,16368,7998,6312,48017,23369,28263,80.57
KE030160,KE030160,123823,61504,19127,9381,3708,51991,25493,29365,81.76
KE035192,KE035192,164405,81806,17130,8451,4956,52830,26339,46392,54.2
KE045264,KE045264,231398,121711,24878,12453,9723,83604,41751,62205,67.59
KE045263,KE045263,129474,67797,14403,7253,5242,47828,23970,34386,69.46
KE045265,KE045265,117519,61919,12946,6404,4392,43378,21656,32060,68.49
KE036197,KE036197,185207,92248,22163,10884,5335,65387,32326,50256,61.77
KE036196,KE036196,187234,94733,24480,11872,5961,71653,34908,49380,70.8
KE045261,KE045261,170093,88848,18874,9451,5838,60847,30603,46872,64.49
KE041236,KE041236,255449,131242,31976,15988,8856,93086,46747,68242,66.41
KE046273,KE046273,123908,62776,12273,6074,4523,41796,20585,33632,59.7
KE040231,KE040231,115278,59645,13574,6765,4438,42663,21380,29394,69.09
KE039219,KE039219,272956,142378,34911,17617,9383,110595,55739,68591,78.43
KE004020,KE004020,453924,218797,71494,34344,9916,197086,93655,106496,83.83
KE035191,KE035191,241510,121261,27668,13703,7671,82996,41420,66335,60.11
KE037207,KE037207,178950,93760,20864,10586,8612,67268,33903,44458,73.62
KE040229,KE040229,164086,88398,20251,10137,7301,63726,32170,42038,76.33
KE012057,KE012057,164245,81837,15747,7817,7056,44607,22160,46116,45.89
KE012058,KE012058,200417,100126,18179,9009,12109,53093,26367,53216,48.22
KE001001,KE001001,186826,89317,20677,10151,2291,51584,25798,57734,40.52
KE036195,KE036195,272428,138916,34412,16953,8821,104318,51618,71808,71.03
KE026140,KE026140,278834,140988,34509,16800,9586,104877,51755,70929,69.64
KE029154,KE029154,215678,108953,24083,12025,6985,70133,34955,60310,55.66
KE007030,KE007030,310957,145508,44407,21105,4955,134495,61960,74219,81.31
KE047276,KE047276,363967,179981,41861,20844,4176,97949,49427,118717,39.0
KE007027,KE007027,246786,120124,36016,17720,4247,106760,51206,60646,81.76
KE030162,KE030162,159048,78643,19122,9278,5006,54366,26758,42448,59.57
KE008037,KE008037,150826,72911,22952,12336,1694,71011,36330,33536,93.07
KE047284,KE047284,278557,139428,33409,16519,1968,77581,38960,93363,39.97
KE047285,KE047285,861480,428178,102606,50944,4990,232401,116876,292625,38.04
KE047283,KE047283,127775,64667,15233,7533,1112,35987,18082,42785,40.91
KE047282,KE047282,304826,151297,35622,17680,2014,80808,40622,103656,37.31
KE047286,KE047286,339892,169176,40467,19964,2789,94200,47211,112760,39.93
KE029155,KE029155,177834,89369,19933,9932,6018,59400,29553,48491,58.19
KE038215,KE038215,107356,56178,11712,5876,6952,38464,19337,25780,73.32
KE033178,KE033178,150090,76501,21342,10538,3859,66481,32870,36237,88.2
KE026137,KE026137,140958,70179,19703,9766,3446,58099,28763,34325,77.5
KE007031,KE007031,245035,114761,34936,16624,3900,105951,48860,58527,81.26
KE040230,KE040230,128248,67463,15799,7967,5833,47891,24228,31939,72.09
KE014065,KE014065,209297,102301,20941,10302,9930,61240,30261,54687,51.53
KE004019,KE004019,222958,110885,36738,17994,5509,96974,47574,52837,85.07
KE003015,KE003015,208264,111404,30433,15170,8696,88526,44088,51177,87.55
KE004018,KE004018,129914,64470,21029,10163,3932,56372,27474,29752,86.63
KE021110,KE021110,194752,96811,19899,9803,11000,56568,28003,50366,53.12
KE022112,KE022112,128749,65106,12695,6242,7929,35892,17809,33731,51.6
KE022111,KE022111,141325,71411,13315,6629,9144,37977,18805,37108,50.02
KE041235,KE041235,218936,115028,25813,12894,12214,80525,40007,54521,73.49
KE020101,KE020101,294524,149154,24650,12425,16818,69129,34725,81748,41.21
KE032169,KE032169,294320,146259,33768,16661,9863,93344,46111,81129,54.0
KE022116,KE022116,190399,95675,18151,9006,10990,50620,25175,51345,47.84
KE038213,KE038213,174297,90243,18579,9340,10560,60546,30353,43115,68.91
KE043249,KE043249,157233,82471,20670,10208,4476,58794,29644,43916,67.34
KE012052,KE012052,261399,129518,30710,15125,9122,89385,44389,70030,60.47
KE012053,KE012053,196775,99594,23909,11967,7222,71040,35427,52494,66.04
KE012051,KE012051,206313,103297,23933,11989,6832,66655,33420,58630,55.33
KE007032,KE007032,155209,72448,22586,10674,2652,67174,30880,36602,81.78
KE037210,KE037210,134630,70639,14647,7273,7402,47402,23827,33944,68.65
KE011049,KE011049,258120,126983,39286,19738,6941,102710,51054,63520,73.86
KE011050,KE011050,223179,100032,31738,15180,4502,94497,43880,48347,79.72
KE001002,KE001002,169035,81983,20152,9873,2042,50101,25057,51830,44.61
KE022113,KE022113,719583,363104,81106,40268,9341,192993,96470,237623,39.12
KE022119,KE022119,212086,107690,22745,11157,5995,55037,27389,67489,40.4
KE043246,KE043246,139292,73650,17564,8810,5819,55727,27792,35589,79.16
KE039218,KE039218,224887,115604,28497,14193,7236,87850,44333,57246,73.26
KE024131,KE024131,142365,73636,28280,14295,3406,70949,36009,31641,109.33
KE017085,KE017085,144894,73705,13463,6644,8419,42911,21369,38424,54.86
KE034184,KE034184,218797,108188,33938,16614,4323,90822,44944,53441,76.95
KE034186,KE034186,485575,238628,58167,28878,5747,137610,68784,155350,41.89
KE034183,KE034183,441999,222943,49822,24487,7032,123411,61788,142718,41.87
KE034187,KE034187,249774,126250,37473,18712,6247,101322,50877,62434,75.64
KE034185,KE034185,301901,150292,45390,22329,6326,116766,57974,78135,68.84
KE003013,KE003013,204630,106774,28314,14166,8063,80490,40265,51908,76.29
KE047288,KE047288,286237,138407,33408,16420,3474,78487,39130,90225,40.12
KE021109,KE021109,190785,96085,19351,9608,13479,54525,27031,47987,55.39
KE039220,KE039220,369202,189401,45320,22699,9287,133177,67144,102634,62.83
KE021104,KE021104,122040,62056,11003,5430,10419,32077,15798,30261,53.42
KE016077,KE016077,104484,52470,9157,4477,6909,29087,14284,26393,52.56
KE024129,KE024129,244618,122339,41040,20364,5965,106060,52933,58448,84.49
KE027145,KE027145,240968,119217,26817,13269,4572,72404,36175,72858,46.94
KE043247,KE043247,207638,108524,25913,12929,9720,79169,39515,52538,74.85
KE047280,KE047280,1064198,538355,127152,62779,9406,301589,151413,354754,41.29
KE043245,KE043245,159028,84284,20400,10058,6079,61709,30876,42211,74.3
KE016079,KE016079,127077,64639,11781,5763,7723,37833,18528,33116,55.88
KE028149,KE028149,126280,62884,15394,7647,3822,43152,21341,34415,59.23
KE028150,KE028150,137593,67994,16085,7957,5338,47267,23380,35689,61.9
KE027146,KE027146,231689,115403,26352,13067,6323,75750,37534,65287,54.86
KE037208,KE037208,129260,68354,14384,7176,7781,47327,23841,31532,74.32
KE022118,KE022118,332576,169050,37187,18442,8276,87813,44124,107270,40.63
KE022117,KE022117,173162,89989,18422,9166,4404,44653,22506,57277,39.53
KE047278,KE047278,198280,96828,19971,9955,2667,52279,26442,62893,38.34
KE017088,KE017088,176277,88134,16982,8279,8703,56678,27878,46155,58.96
KE017087,KE017087,162260,81426,15601,7677,7256,50846,24981,44214,55.78
KE019095,KE019095,239670,120144,22973,11331,11850,65498,32429,64442,47.65
KE021107,KE021107,191834,96625,19044,9397,13539,54977,27020,48455,55.56
KE021106,KE021106,179876,90843,17247,8447,12843,48049,23696,46501,51.18
KE022120,KE022120,328884,167922,35280,17286,9214,86643,43124,105029,41.14
KE033177,KE033177,333497,167427,51102,25495,6654,144273,72166,81486,82.67
KE003011,KE003011,395993,202233,51034,25275,10854,138816,69099,110811,60.76
KE003012,KE003012,308584,157657,39051,19338,9247,108606,53895,85712,61.79
KE047275,KE047275,276577,137423,27169,13505,6477,65952,33194,89710,35.48
KE017084,KE017084,156965,77544,14455,7211,8912,45814,22764,40307,53.53
KE039223,KE039223,202454,104276,25149,12527,6235,78891,39599,51981,72.56
KE026139,KE026139,305270,156660,36776,18319,9354,110119,55343,81713,64.3
KE002010,KE002010,446701,231281,71784,35703,14470,193957,96341,110943,87.47
KE018089,KE018089,168461,85940,17753,8773,6710,52627,25918,46068,54.38
KE018090,KE018090,172229,87844,17590,8752,8331,53983,26687,45607,56.69
