ADM2_PCODE,RP10_crops_30cm_km2,RP10_crops_30cm_areapct,RP10_crops_30cm_croppct,RP10_female_pop_30cm,RP10_children_u5_30cm,RP10_female_u5_30cm,RP10_elderly_30cm,RP10_pop_u15_30cm,RP10_female_u15_30cm,RP10_wra_pop_30cm,RP10_dependency_ratio_30cm,RP10_education_30cm_pct,RP10_education_30cm_count,RP10_hospitals_30cm_pct,RP10_hospitals_30cm_count,RP10_primary_healthcare_30cm_pct,RP10_primary_healthcare_30cm_count,RP50_crops_30cm_km2,RP50_crops_30cm_areapct,RP50_crops_30cm_croppct,RP50_female_pop_30cm,RP50_children_u5_30cm,RP50_female_u5_30cm,RP50_elderly_30cm,RP50_pop_u15_30cm,RP50_female_u15_30cm,RP50_wra_pop_30cm,RP50_dependency_ratio_30cm,RP50_education_30cm_pct,RP50_education_30cm_count,RP50_hospitals_30cm_pct,RP50_hospitals_30cm_count,RP50_primary_healthcare_30cm_pct,RP50_primary_healthcare_30cm_count,RP100_crops_30cm_km2,RP100_crops_30cm_areapct,RP100_crops_30cm_croppct,RP100_female_pop_30cm,RP100_children_u5_30cm,RP100_female_u5_30cm,RP100_elderly_30cm,RP100_pop_u15_30cm,RP100_female_u15_30cm,RP100_wra_pop_30cm,RP100_dependency_ratio_30cm,RP100_education_30cm_pct,RP100_education_30cm_count,RP100_hospitals_30cm_pct,RP100_hospitals_30cm_count,RP100_primary_healthcare_30cm_pct,RP100_primary_healthcare_30cm_count,RP500_crops_30cm_km2,RP500_crops_30cm_areapct,RP500_crops_30cm_croppct,RP500_female_pop_30cm,RP500_children_u5_30cm,RP500_female_u5_30cm,RP500_elderly_30cm,RP500_pop_u15_30cm,RP500_female_u15_30cm,RP500_wra_pop_30cm,RP500_dependency_ratio_30cm,RP500_education_30cm_pct,RP500_education_30cm_count,RP500_hospitals_30cm_pct,RP500_hospitals_30cm_count,RP500_primary_healthcare_30cm_pct,RP500_primary_healthcare_30cm_count
KE027144,0.0,0.0,0.0,452,103,51,23,280,140,266,50.51,0,0,0,0,0,0,0.0,0.0,0.0,452,103,51,23,280,140,266,50.51,0,0,0,0,0,0,0.0,0.0,0.0,452,103,51,23,280,140,266,50.51,0,0,0,0,0,0,0.0,0.0,0.0,452,103,51,23,280,140,266,50.51,0,0,0,0,0,0
KE035190,0.0,0.0,0.0,104,22,11,6,67,33,59,53.65,0,0,0,0,0,0,0.0,0.0,0.0,104,22,11,6,67,33,59,53.65,0,0,0,0,0,0,0.0,0.0,0.0,104,22,11,6,67,33,59,53.65,0,0,0,0,0,0,0.0,0.0,0.0,104,22,11,6,67,33,59,53.65,0,0,0,0,0,0
KE029152,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE041234,0.0,0.0,0.0,4086,915,452,416,2830,1412,1954,72.36,0,0,0,0,0,0,0.0,0.0,0.0,5232,1173,578,535,3622,1807,2501,72.38,0,0,0,0,0,0,0.0,0.0,0.0,5319,1192,588,544,3682,1837,2543,72.39,0,0,0,0,0,0,0.0,0.0,0.0,5910,1324,653,606,4090,2041,2824,72.44,0,0,0,0,0,0
KE044254,0.0,0.0,0.0,264,66,33,15,198,100,135,72.86,0,0,0,0,0,0,0.0,0.0,0.0,264,66,33,15,198,100,135,72.86,0,0,0,0,0,0,0.0,0.0,0.0,264,66,33,15,198,100,135,72.86,0,0,0,0,0,0,0.0,0.0,0.0,264,66,33,15,198,100,135,72.86,0,0,0,0,0,0
KE032174,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE007028,0.0,0.0,0.0,1250,368,181,41,1115,532,638,81.19,0,0,0,0,0,0,0.0,0.0,0.0,1268,373,184,42,1131,540,647,81.19,0,0,0,0,0,0,0.0,0.0,0.0,1268,373,184,42,1131,540,647,81.19,0,0,0,0,0,0,0.0,0.0,0.0,1270,374,184,42,1133,541,648,81.19,0,0,0,0,0,0
KE009040,0.0,0.0,0.0,2678,1109,585,49,2859,1433,1159,112.55,0,0,0,0,0,0,0.0,0.0,0.0,2679,1109,585,49,2860,1433,1160,112.55,0,0,0,0,0,0,0.0,0.0,0.0,4467,1849,975,81,4767,2384,1939,111.95,0,0,0,0,0,0,0.0,0.0,0.0,4467,1849,975,81,4767,2384,1940,111.95,0,0,0,0,0,0
KE030159,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KE030158,0.0,0.0,0.0,33,9,4,3,26,13,15,80.15,0,0,0,0,0,0,0.0,0.0,0.0,53,14,7,5,42,20,25,80.33,0,0,0,0,0,0,0.0,0.0,0.0,56,15,7,6,44,21,26,80.35,0,0,0,0,0,0,0.0,0.0,0.0,56,15,7,6,44,21,26,80.36,0,0,0,0,0,0
KE030160,0.0,0.0,0.0,4292,1370,672,244,3702,1813,2034,83.86,8,6,0,0,0,0,0.0,0.0,0.0,4717,1506,739,268,4069,1993,2235,83.86,8,6,0,0,0,0,0.0,0.0,0.0,5125,1636,803,291,4420,2165,2428,83.85,8,6,0,0,0,0,0.0,0.0,0.0,5640,1801,884,321,4864,2383,2672,83.85,10,8,0,0,0,0
