ADM2_PCODE,ADM_PCODE,access_pop_education_5km,access_pop_education_10km,access_pop_education_20km,access_pop_hospitals_30min,access_pop_hospitals_1h,access_pop_primary_healthcare_30min,access_pop_primary_healthcare_1h,access_pop_primary_healthcare_2h
KE027144,KE027144,138301,234769,478415,396892,598193,299384,598193,598193
KE035190,KE035190,285482,493061,688305,648636,746661,641733,746661,746661
KE029152,KE029152,64061,98042,415903,323950,766612,229041,741345,766612
KE041234,KE041234,682287,944557,1008719,997649,1008785,668553,1007955,1011301
KE044254,KE044254,289535,479078,499508,457038,499508,440222,499508,499508
KE032174,KE032174,918610,984941,999146,995816,1003710,586759,1003710,1003710
KE007028,KE007028,41059,46537,47909,42568,51196,39573,47243,63093
KE009040,KE009040,247477,273968,279268,0,0,0,0,0
KE030159,KE030159,136764,206277,285216,238895,326136,268625,330466,378786
KE030158,KE030158,34359,81530,211533,171791,275144,127776,265783,362394
KE030160,KE030160,171643,218571,273501,140801,268785,172414,268776,423455
KE035192,KE035192,72497,371271,563932,558327,564972,498601,564129,566715
KE045264,KE045264,228018,737073,819121,819121,819121,787778,819121,819121
KE045263,KE045263,307558,459828,459828,459828,459828,446850,459828,459828
KE045265,KE045265,39987,319173,417793,417793,417793,409548,417793,417793
KE036197,KE036197,0,0,87197,606806,647483,0,322135,649010
KE036196,KE036196,51252,206307,594088,408210,653065,0,25455,667457
KE045261,KE045261,460559,601518,601518,601518,601518,556786,601518,601518
KE041236,KE041236,380914,656332,870632,551610,881889,0,739061,896447
KE046273,KE046273,157485,387538,428464,411864,429476,83129,406754,429476
KE040231,KE040231,346640,368373,370254,368719,377013,368258,372333,387243
KE039219,KE039219,262819,724689,985127,826459,985127,579664,985127,985127
KE004020,KE004020,438280,463160,492779,377887,608529,335658,610186,943067
KE035191,KE035191,103008,318302,801518,774066,844073,330604,844073,844073
KE037207,KE037207,574797,637351,637351,637351,637351,637351,637351,637351
KE040229,KE040229,11739,141238,586157,466149,592193,61577,592193,592193
KE012057,KE012057,280988,442845,540171,493613,549750,202142,541189,553731
KE012058,KE012058,146081,402319,577988,590718,661876,369193,635646,672932
KE001001,KE001001,500564,628829,628829,628829,628829,628829,628829,628829
KE036195,KE036195,51652,244083,799476,312641,933994,0,170438,971701
KE026140,KE026140,45577,245889,731376,476048,845179,377325,832164,987112
KE029154,KE029154,43203,175442,662289,326832,693700,207614,662958,748798
KE007030,KE007030,686682,920386,945318,659025,924746,1,1,2505
KE047276,KE047276,1240888,1240888,1240888,1240888,1240888,1240888,1240888,1240888
KE007027,KE007027,887070,887797,888009,884488,884854,844894,864132,888383
KE030162,KE030162,185839,370323,458917,352618,540449,328995,539838,553716
KE008037,KE008037,217751,228576,235387,168346,289854,146281,298824,387766
KE047284,KE047284,958341,958341,958341,958341,958341,958341,958341,958341
KE047285,KE047285,2839135,2912384,2951580,2951580,2951580,2951580,2951580,2951580
KE047283,KE047283,440949,440949,440949,440949,440949,440949,440949,440949
KE047282,KE047282,1033698,1041351,1041351,1041351,1041351,1041351,1041351,1041351
KE047286,KE047286,1166350,1166350,1166350,1166350,1166350,1166350,1166350,1166350
KE029155,KE029155,126031,287598,547095,137515,614756,4343,606970,618365
KE038215,KE038215,313066,379010,379010,379010,379010,379010,379010,379010
KE033178,KE033178,0,9583,312658,102653,313294,0,105239,548010
KE026137,KE026137,23530,101148,290759,232791,350571,132798,353382,408486
KE007031,KE007031,4522,81402,543820,183,472352,0,84,5562
KE040230,KE040230,222292,376826,426231,415462,438475,354933,430439,446602
KE014065,KE014065,231413,534118,640900,549369,703260,41630,388537,708164
KE004019,KE004019,298838,316948,429564,401508,583255,203327,576926,619467
KE003015,KE003015,97215,142755,308422,170865,552736,8086,213712,719620
KE004018,KE004018,132292,176494,207671,61007,208947,99769,260172,356066
KE021110,KE021110,203623,402754,648436,532838,657157,442626,598467,661947
KE022112,KE022112,295500,419292,436343,404122,436903,308538,436833,436903
KE022111,KE022111,467658,475751,476578,430035,477038,272987,477029,477038
KE041235,KE041235,400745,672740,778876,778876,778876,695827,778876,778876
KE020101,KE020101,24216,128757,828986,733834,975228,278261,972803,977696
KE032169,KE032169,511919,765616,959695,776246,996029,154272,948642,1015777
KE022116,KE022116,633841,641762,641762,641762,641762,622661,641762,641762
KE038213,KE038213,96640,505921,611330,594840,611330,576538,611330,611330
KE043249,KE043249,440413,543428,562813,554538,562813,546616,562813,563162
KE012052,KE012052,261165,600317,790548,0,519,0,0,820373
KE012053,KE012053,0,115623,581759,0,371,0,0,620595
KE012051,KE012051,343542,568707,664245,0,68743,0,0,706490
KE007032,KE007032,13533,16070,239817,4,208135,0,197491,279712
KE037210,KE037210,315380,474395,474395,474395,474395,469914,474395,474395
KE011049,KE011049,658319,670300,684336,522801,544087,0,502674,538762
KE011050,KE011050,176854,182342,327660,147423,175288,0,158118,206771
KE001002,KE001002,471078,556927,556927,556685,578534,556685,578534,578534
KE022113,KE022113,2316973,2422868,2456563,2428008,2460070,2355246,2460070,2460070
