ADM2_PCODE,ADM_PCODE,education_count,hospitals_count,primary_healthcare_count
KE027144,KE027144,2,7,1
KE035190,KE035190,7,2,2
KE029152,KE029152,3,0,0
KE041234,KE041234,31,10,0
KE044254,KE044254,15,3,0
KE032174,KE032174,21,1,0
KE007028,KE007028,11,0,0
KE009040,KE009040,17,0,0
KE030159,KE030159,69,11,10
KE030158,KE030158,66,11,0
KE030160,KE030160,78,10,17
KE035192,KE035192,1,0,0
KE045264,KE045264,2,0,0
KE045263,KE045263,7,3,2
KE045265,KE045265,0,1,0
KE036197,KE036197,0,1,0
KE036196,KE036196,4,0,0
KE045261,KE045261,16,1,1
KE041236,KE041236,12,1,0
KE046273,KE046273,6,0,0
KE040231,KE040231,66,5,3
KE039219,KE039219,8,0,0
KE004020,KE004020,46,5,1
KE035191,KE035191,2,1,0
KE037207,KE037207,21,4,1
KE040229,KE040229,0,0,0
KE012057,KE012057,15,2,0
KE012058,KE012058,9,3,0
KE001001,KE001001,29,6,10
KE036195,KE036195,2,0,0
KE026140,KE026140,3,0,0
KE029154,KE029154,2,1,0
KE007030,KE007030,24,1,1
KE047276,KE047276,68,5,8
KE007027,KE007027,36,8,1
KE030162,KE030162,53,10,2
KE008037,KE008037,25,2,8
KE047284,KE047284,24,3,5
KE047285,KE047285,37,13,21
KE047283,KE047283,97,7,21
KE047282,KE047282,134,36,29
KE047286,KE047286,18,4,2
KE029155,KE029155,1,1,0
KE038215,KE038215,27,1,0
KE033178,KE033178,0,0,0
KE026137,KE026137,1,2,0
KE007031,KE007031,16,1,0
KE040230,KE040230,6,4,0
KE014065,KE014065,42,6,0
KE004019,KE004019,18,3,1
KE003015,KE003015,92,16,1
KE004018,KE004018,66,2,4
KE021110,KE021110,30,1,6
KE022112,KE022112,78,0,0
KE022111,KE022111,149,3,0
KE041235,KE041235,21,5,1
KE020101,KE020101,0,0,0
KE032169,KE032169,26,4,0
KE022116,KE022116,73,1,0
KE038213,KE038213,7,2,1
KE043249,KE043249,37,15,0
KE012052,KE012052,2,0,0
KE012053,KE012053,2,0,0
KE012051,KE012051,2,0,0
KE007032,KE007032,20,1,0
KE037210,KE037210,10,3,0
KE011049,KE011049,79,12,0
KE011050,KE011050,12,1,0
KE001002,KE001002,13,1,3
KE022113,KE022113,117,4,3
KE022119,KE022119,51,4,0
KE043246,KE043246,13,3,2
KE039218,KE039218,16,1,0
KE024131,KE024131,1,0,0
KE017085,KE017085,74,0,0
KE034184,KE034184,36,6,2
KE034186,KE034186,36,5,0
KE034183,KE034183,61,4,0
KE034187,KE034187,23,2,0
KE034185,KE034185,42,4,9
KE003013,KE003013,2,0,0
KE047288,KE047288,202,25,35
KE021109,KE021109,5,0,0
KE039220,KE039220,21,4,1
KE021104,KE021104,1,2,0
KE016077,KE016077,61,3,0
KE024129,KE024129,108,4,17
KE027145,KE027145,14,6,1
KE043247,KE043247,63,6,2
KE047280,KE047280,31,15,17
KE043245,KE043245,14,4,0
KE016079,KE016079,111,1,0
KE028149,KE028149,13,1,0
KE028150,KE028150,3,0,0
KE027146,KE027146,7,3,0
KE037208,KE037208,19,0,2
KE022118,KE022118,56,2,0
KE022117,KE022117,47,7,1
KE047278,KE047278,300,59,96
KE017088,KE017088,9,1,0
KE017087,KE017087,1,1,0
KE019095,KE019095,41,1,1
KE021107,KE021107,2,0,0
KE021106,KE021106,4,6,11
KE022120,KE022120,57,6,8
KE033177,KE033177,0,0,0
KE003011,KE003011,42,4,2
KE003012,KE003012,7,2,1
KE047275,KE047275,174,18,11
KE017084,KE017084,18,1,0
KE039223,KE039223,6,1,0
KE026139,KE026139,31,5,0
KE002010,KE002010,83,3,1
KE018089,KE018089,33,2,0
KE018090,KE018090,32,0,0
KE035188,KE035188,0,1,0
KE035189,KE035189,0,0,0
KE020103,KE020103,3,1,1
KE001003,KE001003,23,4,2
KE042240,KE042240,109,21,29
KE042238,KE042238,64,6,10
KE042239,KE042239,42,7,3
KE015072,KE015072,6,0,0
KE015073,KE015073,44,11,0
KE015071,KE015071,21,1,1
KE015074,KE015074,5,0,0
KE015070,KE015070,0,1,0
KE045268,KE045268,0,0,0
KE045269,KE045269,5,2,0
KE046270,KE046270,3,2,0
KE036198,KE036198,2,0,0
KE032171,KE032171,21,2,0
KE032170,KE032170,85,1,11
KE044260,KE044260,1,0,0
KE044259,KE044259,14,4,0
KE026136,KE026136,18,1,0
KE009044,KE009044,0,0,0
KE007029,KE007029,19,2,2
KE031164,KE031164,55,9,0
KE031165,KE031165,27,0,0
KE031163,KE031163,12,3,1
KE010048,KE010048,33,2,1
KE005021,KE005021,0,0,0
KE005022,KE005022,9,3,1
KE047277,KE047277,262,37,34
KE022122,KE022122,89,8,5
KE001005,KE001005,5,4,0
KE037200,KE037200,7,0,0
KE022121,KE022121,72,3,1
KE023126,KE023126,12,1,0
KE038214,KE038214,8,1,0
KE037199,KE037199,56,0,0
KE002008,KE002008,46,7,0
KE037202,KE037202,13,4,1
KE013061,KE013061,14,2,0
KE016081,KE016081,223,4,0
KE003017,KE003017,75,2,8
KE047287,KE047287,41,6,13
KE017086,KE017086,96,12,5
KE037201,KE037201,38,2,0
KE003016,KE003016,88,2,5
KE009043,KE009043,11,1,0
KE009041,KE009041,6,0,0
KE009042,KE009042,9,2,0
KE009039,KE009039,9,0,0
KE014063,KE014063,24,5,0
KE021108,KE021108,5,2,0
KE028147,KE028147,1,0,0
KE028148,KE028148,2,0,0
KE016075,KE016075,11,5,0
KE040228,KE040228,4,1,0
KE047290,KE047290,229,24,19
KE021105,KE021105,2,1,0
