ADM2_PCODE,ADM_PCODE,total_pop_rural,female_pop_rural,children_u5_rural,female_u5_rural,elderly_rural,pop_u15_rural,female_u15_rural,wra_pop_rural,dependency_ratio_rural,rural_pop_perc
KE027144,KE027144,64515,32427,7303,3620,1804,20683,10302,18573,53.51,37.4
KE035190,KE035190,5595,2759,608,299,162,1810,900,1559,54.43,2.57
KE029152,KE029152,15076,7561,1730,853,582,5325,2635,3919,64.44,6.88
KE041234,KE041234,66249,35055,7864,3873,3659,24199,12074,16733,72.56,23.29
KE044254,KE044254,12146,6316,1620,807,364,4871,2439,3168,75.76,8.78
KE032174,KE032174,9440,4811,1109,548,330,3007,1491,2662,54.7,3.27
KE007028,KE007028,31720,14432,4521,2091,506,13721,6145,7360,81.33,47.37
KE009040,KE009040,41162,19971,8260,4351,357,21303,10624,8712,111.06,22.78
KE030159,KE030159,53175,26662,6700,3274,2026,18922,9417,13725,65.0,49.31
KE030158,KE030158,74200,37141,9986,4879,3840,29301,14258,17214,80.72,60.94
KE030160,KE030160,88312,43877,13533,6636,2698,36878,18086,20989,81.21,71.32
KE035192,KE035192,7927,3939,852,420,237,2591,1290,2215,55.43,4.82
KE045264,KE045264,0,0,0,0,0,0,0,0,0,0.0
KE045263,KE045263,462,242,51,26,19,171,86,123,69.47,0.36
KE045265,KE045265,0,0,0,0,0,0,0,0,0,0.0
KE036197,KE036197,736,369,88,43,22,263,130,198,63.15,0.4
KE036196,KE036196,2779,1407,363,176,89,1064,518,733,70.94,1.48
KE045261,KE045261,0,0,0,0,0,0,0,0,0,0.0
KE041236,KE041236,134084,68884,16788,8394,4642,48857,24536,35827,66.39,52.49
KE046273,KE046273,13212,6587,1273,627,449,4313,2117,3582,56.35,10.66
KE040231,KE040231,11626,6014,1369,682,446,4302,2155,2966,69.03,10.08
KE039219,KE039219,2706,1413,347,175,94,1101,555,678,79.05,0.99
KE004020,KE004020,228986,110627,36034,17349,4989,99414,47350,53876,83.8,50.45
KE035191,KE035191,5577,2801,639,316,178,1919,957,1530,60.24,2.31
KE037207,KE037207,387,205,44,22,20,143,72,98,72.9,0.22
KE040229,KE040229,674,363,83,42,30,262,132,173,76.41,0.41
KE012057,KE012057,87599,43649,8293,4117,3779,23577,11714,24669,45.41,53.33
KE012058,KE012058,65662,32911,6003,2980,3844,17604,8747,17542,48.51,32.76
KE001001,KE001001,0,0,0,0,0,0,0,0,0,0.0
KE036195,KE036195,19278,9789,2413,1188,612,7275,3599,5112,69.24,7.08
KE026140,KE026140,30309,15319,3763,1833,1038,11411,5632,7707,69.7,10.87
KE029154,KE029154,32006,16163,3574,1784,1028,10391,5179,8965,55.47,14.84
KE007030,KE007030,63278,29593,9051,4298,1005,27379,12604,15098,81.34,20.35
KE047276,KE047276,0,0,0,0,0,0,0,0,0,0.0
KE007027,KE007027,13897,6851,2180,1070,299,6031,2931,3346,83.65,5.63
KE030162,KE030162,85628,42338,10313,5005,2699,29310,14425,22834,59.7,53.84
KE008037,KE008037,51657,24904,7857,4223,575,24214,12360,11508,92.26,34.25
KE047284,KE047284,0,0,0,0,0,0,0,0,0,0.0
KE047285,KE047285,14011,6941,1658,823,83,3751,1885,4752,37.66,1.63
KE047283,KE047283,0,0,0,0,0,0,0,0,0,0.0
KE047282,KE047282,0,0,0,0,0,0,0,0,0,0.0
KE047286,KE047286,0,0,0,0,0,0,0,0,0,0.0
KE029155,KE029155,11771,5912,1320,658,396,3933,1957,3210,58.18,6.62
KE038215,KE038215,0,0,0,0,0,0,0,0,0,0.0
KE033178,KE033178,12519,6357,1803,892,307,5490,2721,3040,86.24,8.34
KE026137,KE026137,35768,17831,4991,2475,889,14698,7279,8732,77.24,25.38
KE007031,KE007031,60430,28188,8615,4083,961,26131,12001,14376,81.27,24.66
KE040230,KE040230,9679,5091,1190,600,440,3611,1826,2415,71.97,7.55
KE014065,KE014065,172161,84116,17250,8485,8182,50475,24938,44902,51.68,82.26
KE004019,KE004019,94070,46715,15439,7558,2302,40908,20038,22301,84.96,42.19
KE003015,KE003015,197575,105660,28852,14383,8241,83925,41799,48567,87.44,94.87
KE004018,KE004018,116026,57576,18779,9075,3511,50339,24534,26573,86.61,89.31
KE021110,KE021110,58116,28894,5938,2925,3285,16872,8353,15035,53.1,29.84
KE022112,KE022112,1980,998,197,97,118,556,276,520,51.6,1.54
KE022111,KE022111,2468,1247,233,116,161,665,329,646,50.29,1.75
KE041235,KE041235,21693,11397,2566,1282,1206,7983,3963,5409,73.48,9.91
KE020101,KE020101,5798,2936,485,244,332,1360,683,1608,41.22,1.97
KE032169,KE032169,97720,48506,11194,5523,3314,31011,15315,26831,54.15,33.2
KE022116,KE022116,1032,519,101,50,57,282,140,278,48.92,0.54
KE038213,KE038213,2492,1283,269,135,134,861,431,631,66.48,1.43
KE043249,KE043249,11439,5998,1510,746,331,4302,2168,3176,68.07,7.28
KE012052,KE012052,33778,16630,4046,1995,1131,11753,5811,8946,61.66,12.92
KE012053,KE012053,12458,6301,1512,756,457,4490,2239,3324,65.85,6.33
KE012051,KE012051,14587,7312,1690,848,480,4682,2350,4173,54.77,7.07
KE007032,KE007032,46858,21655,6680,3137,746,20263,9219,11044,81.27,30.19
KE037210,KE037210,0,0,0,0,0,0,0,0,0,0.0
KE011049,KE011049,91776,44676,14654,7437,2438,38435,19128,21208,80.29,35.56
