county,sub_county,ward,facility_code,facility_name,keph_level,operation_status,lat,lon,available_chws,ward_population,vulnerability_score,under5_share,distance_to_level3_km,terrain_class,phc_access_1h_share,travel_friction_phc_1h,stunting_u5_pct,wasting_u5_pct,underweight_u5_pct,facility_delivery_pct,skilled_delivery_pct,anc4_pct,maternal_risk_index,hh_itn_ownership_pct,malaria_itn_gap_pct,ccri_malaria_pf_score,ccri_riverine_flood_score,ccri_drought_score,ccri_food_insecurity_score,ccri_child_nutrition_score,ccri_maternal_health_score,ccri_risk_index,flood_risk_flag,seasonal_mobility_flag,chw_monthly_stipend_kes,anc_skilled_pct,poverty_overall_pct,linked_chu_count,real_chw_headcount,adm2_match_level,adm2_pcode,adm2_name
KILIFI,kilifi south,SHIMO LA TEWA,21474.0,Kemri Mtwapa,Level 2,Operational,-3.6298512,39.8558747,2,22000,0.76,0.1265490109662199,0.67,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003012,Kilifi South
KILIFI,kaloleni,KAYAFUNGO,24507.0,Tumaini Medical Clinic Tsangatsini,Level 2,Operational,-3.5226766,39.5291057,2,22000,0.76,0.13836680838586718,17.947,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003013,Kaloleni
KILIFI,magarini,MARAFA,24411.0,Kijanaheri Medical marafa,Level 2,Operational,-2.8642006,40.1464021,2,18200,0.76,0.1430688616634187,3.956,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003017,Magarini
KILIFI,malindi,JILORE,24363.0,Marikano Dispensary,Level 2,Operational,-3.4745903,39.5166723,2,22000,0.76,0.12831770034594672,20.883,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003016,Malindi
TANA RIVER,GARSEN,GARSEN WEST,24340.0,Kone Dispensary,Level 2,Operational,-1.0182385,39.793616,2,10500,0.86,0.16186862077990055,18.955,arid,1.0,0.0,21.1,11.3,16.8,51.1,59.2,61.2,48.9,71.3,28.7,7.5,9.7,8.7,10.0,5.9,10.0,8.0,1.0,1,5000,95.3,66.7,0,,subcounty_exact,KE004018,Garsen
MANDERA,mandera east,KHALALIO,24331.0,Qumbiso Dispensary,Level 2,Operational,3.16894,40.0978592,2,12100,0.9,0.16136107711138312,213.769,arid,0.0,1.0,20.5,17.3,23.2,50.4,54.7,40.4,49.6,15.7,84.3,9.6,8.2,1.4,10.0,7.5,6.6,8.5,1.0,1,5000,76.4,72.9,0,,subcounty_exact,KE009043,Mandera East
KILIFI,kilifi north,SOKONI,24296.0,Arabuko Medical Clinic,Level 2,Operational,-3.5226766,39.5291057,2,22000,0.76,0.1288760154851222,17.947,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003011,Kilifi North
KWALE,kinango,KASEMENI,24262.0,Mabesheni Dispensary,Level 2,Operational,-4.3959567,39.3108753,2,19800,0.8,0.16069809559414464,12.611,semi_arid,1.0,0.0,22.7,6.2,13.7,84.1,89.3,71.9,15.9,74.0,26.0,9.2,8.5,8.6,2.5,7.8,5.6,6.8,1.0,0,5000,99.3,,0,,subcounty_exact,KE002010,Kinango
KILIFI,ganze,SOKOKE,24175.0,Mathcare Medical Clinic,Level 2,Operational,-3.5226766,39.5291057,2,22000,0.76,0.14612703107594208,17.947,semi_arid,1.0,0.0,37.0,7.2,19.5,83.8,84.5,77.3,16.2,74.4,25.6,9.5,9.1,9.6,1.3,8.3,6.2,6.7,1.0,0,5000,99.3,,0,,subcounty_exact,KE003015,Ganze
MARSABIT,north horr,ILLERET,24166.0,Telesgaye Dispensary,Level 2,Operational,3.5244107,39.0710346,2,11000,0.92,0.11560098828371891,0.0,arid,0.03895154171215453,0.9610484582878455,18.9,20.4,25.9,59.3,68.7,67.1,40.7,27.1,72.9,8.3,4.8,5.9,10.0,4.8,6.6,8.1,1.0,1,5000,93.8,66.1,0,,subcounty_exact,KE010046,North Horr
